indv,nex,species,family,hopkins
218,312,Egyptian fruit bat,mammal,0.31861283202804735
s31,15275,Human (English),mammal,0.08603263015867257
MIWAT22,233,Swamp sparrow,songbird,0.022895698800064146
WM17,1674,White-rumped munia,songbird,0.019514876513392232
215,21880,Egyptian fruit bat,mammal,0.03931733230378576
CATH-TLR8,2618,California thrasher,songbird,0.014973332984853371
NYHVTHO28,215,Swamp sparrow,songbird,0.01884722748131229
NYHVVLY21,218,Swamp sparrow,songbird,0.024007748735755063
222,852,Egyptian fruit bat,mammal,0.2745322785784051
WM20,1712,White-rumped munia,songbird,0.01702766645227749
CATH-TLR12,670,California thrasher,songbird,0.04187827352624407
NYADIRAQSI23,232,Swamp sparrow,songbird,0.017651261451833156
s06,10639,Human (English),mammal,0.09852606928157182
WM36,5117,White-rumped munia,songbird,0.022293720712809773
s10,31600,Human (English),mammal,0.06524643582606338
Bird2,26127,Bengalese finch,songbird,0.004151425982029999
NYADIRAQBT25,239,Swamp sparrow,songbird,0.022282703425927086
WIHOR35,211,Swamp sparrow,songbird,0.02094279579106062
NYHVTIV27,233,Swamp sparrow,songbird,0.02339090107564401
NYHVVLY37,269,Swamp sparrow,songbird,0.02552029100331954
